dateE,latitude,longitude,depth,mag,gap,id,place
03-10-2022,8.3607,91.1987,10,4.1,77,us6000irv4,"Nicobar Islands, India region"
30-09-2022,24.7823,94.9256,10,4.6,112,us6000iphx,"89 km E of Yairipok, India"
18-09-2022,28.8975,95.861,10,4.5,92,us7000i935,"105 km NNE of P?sigh?t, India"
17-09-2022,26.368,96.6018,122.703,4.3,69,us7000i8xq,"27 km NW of Sarupathar, India"
13-09-2022,26.6232,96.133,10,4.4,110,us7000i7sb,"71 km SE of Khonsa, India"
02-09-2022,13.9359,93.6367,55.814,5,45,us7000i4kj,"Andaman Islands, India region"
29-08-2022,29.024,96.1153,10,4.2,112,us7000i5q7,"113 km NNW of Hayuliang, India"
28-08-2022,10.3923,93.8489,10,4.6,94,us7000i5ec,"185 km SE of Port Blair, India"
26-08-2022,25.0099,95.2338,91.384,4.6,53,us7000i2i8,"103 km SE of Phek, India"
24-08-2022,33.1509,75.7219,10,4.2,156,us7000i23w,"16 km E of Doda, India"
22-08-2022,33.2367,75.8439,10,4,153,us6000icvq,"11 km SE of Kishtw?r, India"
19-08-2022,28.0619,81.1968,10,4.9,80,us6000ic7w,"12 km NE of Dhaurahra, India"
07-08-2022,10.2856,93.8306,10.349,4.6,73,us6000i8wu,"193 km SE of Port Blair, India"
28-07-2022,23.3819,82.5056,9.957,4.7,92,us6000i69p,"14 km NNW of Baikunthpur, India"
26-07-2022,23.5693,93.2709,42.7,4.6,56,us7000htji,"25 km NE of Khawhai, India"
24-07-2022,30.7594,78.396,20.888,4,169,us6000i7rv,"5 km NW of Uttark?shi, India"
16-07-2022,24.1883,94.4481,76.459,4.5,57,us6000i32w,"58 km SE of Kakching, India"
14-07-2022,10.3022,94.1785,10,4.4,178,us7000hsnu,"217 km SE of Port Blair, India"
11-07-2022,23.3845,82.4802,10,4.6,85,us6000i1hw,"15 km NNW of Baikunthpur, India"
09-07-2022,16.9254,75.7188,10,4.5,77,us6000i13p,"Karnataka, India"
08-07-2022,10.3187,94.1649,10,4.5,105,us6000i11i,"215 km SE of Port Blair, India"
08-07-2022,9.921,94.2657,10,4.1,160,us6000i2pp,"Nicobar Islands, India region"
08-07-2022,10.4818,94.1885,10,5.2,61,us6000i117,"Andaman Islands, India region"
08-07-2022,10.3507,94.0642,10,4.2,170,us6000i2pd,"204 km SE of Port Blair, India"
08-07-2022,27.8815,94.1134,10,4.3,108,us6000i2nr,"41 km NE of Ziro, India"
07-07-2022,10.4157,94.0481,10,4.3,94,us6000i238,"198 km SE of Port Blair, India"
06-07-2022,10.3391,94.2494,10,4.6,82,us6000i0cv,"220 km SE of Port Blair, India"
06-07-2022,10.4009,94.3816,10,4.5,143,us6000i0bw,"226 km SE of Port Blair, India"
06-07-2022,10.3877,94.0749,10,4.5,160,us6000i09u,"202 km SE of Port Blair, India"
06-07-2022,10.368,94.2181,10,4.9,58,us6000i07w,"215 km SE of Port Blair, India"
06-07-2022,10.3261,94.1081,10,4,183,us6000i1tz,"Andaman Islands, India region"
06-07-2022,10.4628,94.1034,10,4.9,85,us6000i05y,"199 km SE of Port Blair, India"
05-07-2022,10.553,94.1619,10,4.9,80,us6000i008,"197 km SE of Port Blair, India"
05-07-2022,10.3995,94.1516,10,4.2,178,us6000i0y2,"207 km SE of Port Blair, India"
05-07-2022,10.3821,94.2379,10,4,178,us6000i0xz,"Andaman Islands, India region"
05-07-2022,10.4254,94.1424,10,4.2,158,us6000i0xu,"205 km SE of Port Blair, India"
05-07-2022,10.2992,94.3324,10,4.7,84,us6000hzyw,"230 km SE of Port Blair, India"
05-07-2022,10.3821,94.0983,10,4.3,178,us6000i0xk,"204 km SE of Port Blair, India"
05-07-2022,10.2608,94.1562,10,4.8,57,us6000hzy9,"218 km SE of Port Blair, India"
05-07-2022,10.3286,94.1991,10,4.3,178,us6000i0xd,"217 km SE of Port Blair, India"
05-07-2022,10.2666,94.2833,10,5,69,us6000hzxm,"228 km SE of Port Blair, India"
05-07-2022,10.4449,93.87,10,4.3,141,us6000i0xm,"182 km SE of Port Blair, India"
05-07-2022,10.3288,94.0598,10,4.9,57,us6000hzwp,"206 km SE of Port Blair, India"
05-07-2022,10.2316,94.0501,10,4.2,88,us6000i0x4,"213 km SE of Port Blair, India"
05-07-2022,10.3277,94.2534,10,5.4,85,us6000hzwa,"Andaman Islands, India region"
05-07-2022,10.2778,93.8421,10,4.5,118,us6000i0x3,"194 km SE of Port Blair, India"
04-07-2022,10.4198,94.0743,10,4.5,92,us6000i0wg,"200 km SE of Port Blair, India"
04-07-2022,10.2329,94.2382,10,4.6,107,us6000hzw2,"227 km SE of Port Blair, India"
04-07-2022,10.4627,94.1965,10,4.2,194,us6000i0w9,"206 km SE of Port Blair, India"
04-07-2022,10.3032,94.1408,10,4.9,61,us6000hzv5,"214 km SE of Port Blair, India"
04-07-2022,10.4048,94.2584,10,4.4,146,us6000hzv3,"216 km SE of Port Blair, India"
04-07-2022,10.3526,94.2481,10,4.9,47,us6000hzuu,"219 km SE of Port Blair, India"
04-07-2022,10.4204,94.2649,10,4.9,89,us6000hzus,"Andaman Islands, India region"
04-07-2022,10.5545,94.1795,10,4.9,101,us6000hzup,"Andaman Islands, India region"
04-07-2022,10.2384,94.0024,10,4.5,177,us6000i0x2,"Andaman Islands, India region"
04-07-2022,10.4646,94.4605,10,4.6,155,us6000hzuk,"229 km SE of Port Blair, India"
04-07-2022,10.2638,93.9224,10,5,67,us6000hzue,"201 km SE of Port Blair, India"
04-07-2022,10.3725,93.6866,10,4.6,153,us6000hzua,"176 km SE of Port Blair, India"
04-07-2022,10.1636,94.1024,10,4.2,178,us6000i0vx,"222 km SE of Port Blair, India"
04-07-2022,10.4137,94.2287,10,4.7,89,us6000hzu3,"213 km SE of Port Blair, India"
04-07-2022,10.2429,94.1027,10,4.8,107,us6000i0w4,"Andaman Islands, India region"
04-07-2022,10.4139,94.2442,10,4.1,167,us6000i0x1,"214 km SE of Port Blair, India"
04-07-2022,10.4304,94.2504,10,4.9,101,us6000hztp,"213 km SE of Port Blair, India"
04-07-2022,10.3736,94.244,10,4.2,179,us6000i0vv,"217 km SE of Port Blair, India"
04-07-2022,10.3123,94.1286,10,4.4,167,us6000i0vp,"212 km SE of Port Blair, India"
04-07-2022,9.9627,94.1363,10,4.5,206,us6000hzsh,"242 km SE of Port Blair, India"
04-07-2022,10.3479,94.0109,10,4.5,70,us6000hzri,"Andaman Islands, India region"
04-07-2022,10.3415,94.1421,10,4.2,265,us6000i0vj,"Andaman Islands, India region"
04-07-2022,10.4368,94.1791,10,4.3,179,us6000i0ve,"207 km SE of Port Blair, India"
04-07-2022,10.2341,94.2256,10,4.5,158,us6000hzr6,"226 km SE of Port Blair, India"
04-07-2022,10.1412,94.2325,10,4.6,78,us6000hzr2,"234 km SE of Port Blair, India"
04-07-2022,10.3944,94.2851,10,5,85,us6000hzqu,"219 km SE of Port Blair, India"
04-07-2022,10.4407,94.2815,10,4.1,178,us6000i0vr,"215 km SE of Port Blair, India"
04-07-2022,10.4709,94.1822,10,4.5,161,us6000hzqc,"Andaman Islands, India region"
04-07-2022,10.3591,94.1964,10,5,58,us6000hzq5,"Andaman Islands, India region"
04-07-2022,10.4254,94.2342,10,4.5,175,us6000i0v5,"212 km SE of Port Blair, India"
04-07-2022,10.3642,94.1744,10,4.7,87,us6000hzq2,"212 km SE of Port Blair, India"
04-07-2022,10.2576,93.8591,10,4.3,118,us6000i0vm,"197 km SE of Port Blair, India"
04-07-2022,10.3072,94.1437,10,5,57,us6000hzpu,"214 km SE of Port Blair, India"
04-07-2022,10.5491,93.9883,10,4.2,178,us6000i0v3,"183 km SE of Port Blair, India"
04-07-2022,10.3254,94.0101,10,4.3,159,us6000i0uy,"202 km SE of Port Blair, India"
04-07-2022,10.1855,94.0655,10,4.3,87,us6000i0ux,"218 km SE of Port Blair, India"
04-07-2022,10.298,94.1393,10,4.1,178,us6000i0v1,"214 km SE of Port Blair, India"
04-07-2022,10.4305,94.1413,10,5.1,69,us6000hzpp,"204 km SE of Port Blair, India"
04-07-2022,10.3129,94.1035,10,4.5,100,us6000i0uv,"210 km SE of Port Blair, India"
04-07-2022,10.2936,94.2046,10,4.4,85,us6000hzpl,"220 km SE of Port Blair, India"
04-07-2022,10.3181,94.033,10,4.8,64,us6000hzpi,"204 km SE of Port Blair, India"
04-07-2022,10.3636,93.9764,10,4.2,170,us6000i0us,"197 km SE of Port Blair, India"
04-07-2022,10.4776,94.1576,10,4.3,158,us6000i0un,"202 km SE of Port Blair, India"
04-07-2022,10.4084,94.175,10,4.3,131,us6000i0vf,"209 km SE of Port Blair, India"
04-07-2022,10.5715,94.5486,10,4.2,168,us6000i0v4,"231 km ESE of Port Blair, India"
04-07-2022,10.266,94.0759,10,4.3,175,us6000i0ul,"Andaman Islands, India region"
04-07-2022,10.3658,94.0742,10,4.7,102,us6000hznv,"204 km SE of Port Blair, India"
04-07-2022,10.3683,94.071,10,4.1,159,us6000i0uh,"203 km SE of Port Blair, India"
27-06-2022,28.8231,76.6692,10,3.7,202,us7000hkq7,"11 km SE of Rohtak, India"
22-06-2022,10.5852,91.6122,10,4.6,46,us7000hjal,"172 km SW of Port Blair, India"
21-06-2022,10.576,91.58,10,4.2,126,us7000hjyn,"175 km SW of Port Blair, India"
05-06-2022,8.9674,93.6949,73.24,5,54,us7000hf4j,"Nicobar Islands, India region"
31-05-2022,26.3635,95.6051,95.69,4.3,90,us7000hdq8,"68 km SE of Mon, India"
27-05-2022,12.9434,93.4548,77.17,4.5,64,us7000hcwe,"159 km NNE of Bamboo Flat, India"
15-05-2022,26.3342,92.3725,10,4.1,94,us6000hld3,"9 km NNE of Morigaon, India"
